adversary_0,agent_0
17.773345186675055,-149.47786195429802
-30.730203385847066,-148.29499356611515
-45.84412739521905,-94.87713701217122
-35.81069002686303,-66.87333589831647
-66.11818285868527,-74.59811751100113
-35.86388251113948,-71.21145948042272
-19.00602478688069,-77.2934403460654
-33.65416645739255,-75.1675601625703
-8.467715746777984,-71.09030013966283
-9.35396281676253,-75.76532896508577
0.3660415898011873,-84.46338635988268
-38.807540988804234,-77.15286508704433
-45.79919980022261,-80.76480027665606
18.467936807332624,-81.02572330021803
-30.102151040024868,-100.0812497632367
-45.38077345290746,-59.960316662608236
21.87812777416226,-81.02572330021803
14.118378412111378,-65.7928774136587
-126.01952681706169,-79.8668136402153
7.026228780331774,-78.20592233418462
-7.878867289456326,-70.388493756649
6.431595650972181,-73.76169447531898
4.185798920406334,-78.6704714429214
-5.136673351957122,-75.99371218481441
8.840318798255732,-81.01694537965952
-43.66964338979229,-58.44691224005461
-27.5577257956053,-68.14926243377055
-23.301977417666826,-63.89815850027223
-24.317167301611985,-73.35988246550797
-30.485692970987774,-66.56142200756166
-30.79773523644471,-66.52633173388604
2.6157717575241595,-64.53172965011005
-53.64010822344492,-68.63695115763684
-43.52290814923021,-49.584571133030124
-12.267956975370161,-70.57458154657958
6.586881108468797,-78.08402328109734
13.062738042226332,-70.04258271639922
-23.184323048212804,-67.67729694228406
-10.03607722375821,-61.64075762074529
14.470684841608435,-72.08926735284295
11.618278019537026,-78.80887063704519
2.381933511733588,-72.26785245344043
8.282881167311817,-73.32363523287297
3.8140602334730227,-67.00188982451213
-7.894183608841228,-86.32477674081885
24.966672515034933,-78.75848811662735
-26.306827054657603,-72.0879172666571
9.602300274029727,-67.35199542030294
9.116954547069819,-80.46161208353637
30.51019582101086,-96.37488160369156
