episode,lead_adversary,adversary_0,adversary_1,adversary_2,agent_0,agent_1
1, -5.438919410972366,-7.9627286961118235, -4.849403787221597,-2.941016904043531,-438.9077886007221,-31.56705914425729
2, -12.311960104192726,-13.915204755034638, -7.840304065294009,-13.058954625613428,-748.6262725521884,-729.0857346238303
3, -10.860276178768933,-9.85870829697701, -8.977279718908733,-10.750607081968385,-414.10522198260463,-330.97034052144073
4, -4.878093677722011,-5.909347931937195, -5.204916705557736,-5.176176459920211,-130.79183986353146,-92.00252507492749
5, 0.7277553664909844,-1.4754993360108326, 1.1681692624622135,0.3374385656904084,-2.535047998045321,-97.52741407669583
6, 6.799023108890668,0.9830256593100927, 6.5714424651091,6.811616342960242,-127.97505070799883,-11.823057162137392
7, 5.514539503113934,9.996476236564973, 5.4399215613235,6.898959042079112,-607.7588790218102,-303.02721930570704
8, -2.707200941950052,-4.284145534731103, -5.636525863908523,-5.097587555590923,-394.8017864283013,-94.83776923464075
9, 22.64339681134105,17.830537016272757, 18.205369589432674,19.43758304205912,-68.19332075587162,-345.93368710905634
10, -3.141671231034943,-4.709722049159416, -3.5498459605084336,-2.7744817652303007,-61.01965187220846,-1.6899644240232075
11, 26.7101459637308,24.324820023405987, 26.897196028154273,27.564230262460306,-232.9376555333209,-777.457227819452
12, 1.5016084762815365,0.06296284957297776, 1.2652291921897283,0.016567253046311792,-44.09483558759596,-766.3962818360247
13, -4.821146212093282,-4.202337395069841, -6.356940382459232,-4.630588279258542,-21.137447020597552,-328.6989322469848
14, -4.773646983828062,-2.363885762441485, -6.154966846677465,-3.651896727277418,-40.13982094127883,-182.76717405710033
15, 6.394087704713373,3.8413688649692075, 5.550140839879625,7.1539560406122975,-2.3167290187131853,-133.64857189138675
16, 6.175304703491403,7.173282049617576, 6.054036984080776,7.7033670799617635,-1.8184509570683394,-23.648508228643987
17, 37.242657330634565,35.490895414386735, 34.679957347916535,38.50375908880927,-2.3484789529153836,-87.5227537217089
18, 6.598129487526388,5.381418125678458, 4.4185757694677585,7.872410144689817,-2.5011251241604,-17.49178477428135
19, -2.488276616445881,-5.074325181183266, -6.214049036089519,-3.695801544492907,-2.3837110625610207,-2.7024399096279184
20, -4.1532780536751055,-9.714822285645662, -5.07479554323379,-4.957088061924429,-2.7115946200114265,-2.715846665630238
21, -4.2331345746461375,-8.905831494603687, -7.782465494590023,-4.4650598334325675,-39.88367479322979,-6.491040267375807
22, 6.914916148210501,5.47909631765944, 0.7581182899092753,5.11028228868355,-3.1331679883030974,-46.987634847945884
23, 2.9799535392325116,-1.2989831146699093, -6.94918092977205,-1.32749939224901,-83.35384869215916,-49.93042371802648
24, 7.25974545185574,6.115013193512694, 0.2521442353383074,3.8552254036105764,-67.56433834940698,-101.93690314220628
25, 1.8418778997904355,1.199593698531227, -5.765814143916005,0.3949019004346929,-7.873548194485794,-2.7040460175529972
26, 12.318767530885191,12.004602415664742, 9.216525459819383,10.628054919318746,-17.894669745717902,-2.8499954584549925
27, 11.144727771353837,10.428154885102504, 7.639785559350807,11.640363296354565,-17.48262380724765,-12.685235743741396
28, 0.43793593719071,1.1906026844503126, -1.9796996305192258,2.3027350210233566,-3.038509673628296,-7.758557877964684
29, -4.699972558781091,-2.552247259729663, -5.53649418885894,-2.7071425975032977,-2.7283756416416827,-17.40394340691881
30, -4.806983899119286,-3.8478710273777867, -5.327036811184523,-6.651807889662185,-2.8237109520474895,-2.499433827285986
31, 23.732078744208323,26.708645073288178, 26.22595072968455,26.772227825627134,-2.7830811535710103,-32.27350999470947
32, -3.9980673781100937,-6.651095616683048, -2.295723890415677,-4.787499845138021,-3.2236377428098786,-3.0841737942738776
33, -3.976321900988946,-4.992726493223336, -4.761121962999143,-5.466090737372923,-6.59931959647233,-1.541702561265055
34, -4.809823374210553,-4.071058241709689, -4.404279477501886,-4.103500277429917,-15.809161128755258,-408.85561917633214
35, -5.518218691860837,-5.391549502449216, -4.303983191572765,-6.724251057874405,-2.926623463108556,-284.95172794323497
36, -4.562156263464295,-5.710414017945013, -6.056350384026258,-6.34393672313709,2.30352395223957,-1.6139369475776932
37, -3.284173260400122,-6.76117472097209, -5.327614877001967,-6.1935599658825495,-50.45874366794367,-1.5686972409343996
38, -2.9766522432440006,-6.012403034390131, -2.4380255842048983,-4.484495326617715,-3.430474213602482,-1.398920847879412
39, -4.091954759774642,-5.050281767116073, -8.14369438406113,-4.563926562004701,-122.61996334472273,-154.5979208414723
40, -1.648661285833897,-1.946198436199195, 2.324552427516102,-0.24554096710754209,-3.5867975728843793,-6.911961687051255
41, -4.64541651232047,-5.379593963179398, -5.592492785710307,-5.224294328548616,-1.811595679770601,-199.47753153519602
42, -5.944386123609682,-8.769144383270795, -2.5847205603138206,-4.232982249171062,-3.014092739856638,-277.2730504340144
43, -5.618305646575248,-9.746007262358852, -4.96662524503252,-5.467634370526976,-3.3262272405551325,-3.1672355540547716
44, -4.896272767214797,-11.67869230057718, -7.203791781575257,-6.807597693925909,-418.2815157235929,-3.4359959812512937
45, -4.508353339743467,-11.279004520118841, -3.560869656218588,-7.894909723734688,-3.5576343266533192,-2.4237643900434893
46, 4.440938898841797,-0.8356911936776987, 8.09144058197388,1.592464941939487,-443.42570393460835,-13.039836336927994
47, 3.7821030221081027,0.0017593832776530427, 5.559610430501846,0.5101098214823562,-379.6210744271836,-12.65838602300268
48, 17.012073789697023,11.782068664816556, 17.003694014595183,12.666902679791345,-328.6395418376071,-22.01186991410297
